ipw_p2,ipw_p1,ipw_p0,pinSaturation,minPhotonSetting,ipwChi2,pinChi2,pin_p0,pin_p1,maxPhotonOutput,PINrms,channel
0.106978666671,-1697.34839181,6733064.09447,1799442.73665,433.064337002,0.0684107625443,0.0670554661633,-39217.3043361,15.5094347488,1799442.73665,0.0,58
0.22219964829,-2600.78154216,7610728.9391,2277137.03105,383.15087358,0.165373097462,0.141176873603,-66756.3632559,21.7691490402,2277137.03105,0.0,59
0.150278636726,-2102.57900635,7354811.69499,1897036.86863,408.94309965,0.0426496009833,0.0444099654454,-48663.6692602,21.0825095684,1897036.86863,0.0,60
0.133001453438,-1865.45605951,6541613.23424,2384595.15433,469.848174025,0.0380337076355,0.0686609865568,-36190.874798,16.4994443639,2384595.15433,0.0,61
0.101776113739,-1742.80684643,7461319.80504,1922910.87658,395.054603979,0.064877047546,0.0681066291229,-30421.9414616,13.8284451039,1922910.87658,0.0,62
0.108508530304,-1487.43263004,5097330.53149,1582444.82503,-93.1979857376,0.364474202392,0.0364578945248,-37449.8386911,12.8067143992,1582444.82503,0.0,63
0.131128281609,-1679.86258756,5380461.64162,1894018.28935,351.64844418,0.0557528279032,0.568415033057,-66853.0611573,15.4908343441,1894018.28935,0.0,64
0.121630989163,-1373.67090248,3876152.7365,1486909.26514,-2323.79590983,0.127833504687,0.0632235172575,-26502.7423794,13.0812374454,1486909.26514,0.0,65
0.126141659695,-2329.78742615,10758163.2456,3329756.86251,596.189344069,0.289883121752,0.198947512968,-58995.1979832,31.9466938216,3329756.86251,0.0,66
0.225390446485,-2889.10849906,9258684.81847,2890710.27984,364.368889429,0.0877421306903,0.137140519171,-56749.2061013,27.9292468261,2890710.27984,0.0,67
0.221475740748,-2886.88573522,9407843.93003,2939758.06936,369.752374804,0.12749457071,0.168885618675,-31491.4180536,19.8374887957,2939758.06936,0.0,68
0.092982412434,-1718.36932205,7939764.32739,2364425.10657,646.999533446,0.0537140193175,0.123153532611,-22843.8319946,16.8803395315,2364425.10657,0.0,69
0.133032719912,-1587.108852,4734064.09376,1563353.54822,426.929589655,0.0605251777016,0.0389518830274,-21089.2978809,11.8366732089,1563353.54822,0.0,70
0.105676678718,-1325.81882949,4158673.99824,1436342.28901,245.691360016,0.0639555056642,0.0405671572349,-29046.680748,12.1343879835,1436342.28901,0.0,71
0.103804987539,-1576.91832035,5989440.89234,1887060.71154,635.710646622,0.715373518817,3.81907930401,-91524.2717186,14.1789320958,1887060.71154,0.0,72
0.109446614694,-1450.22069542,4804441.3435,1583121.11875,409.552944328,0.0756888015241,0.0653691945589,-29164.375899,17.0224935487,1583121.11875,0.0,73
0.19929173874,-2921.37053852,10706441.972,2903683.57275,521.750087485,0.111225125145,0.113075173207,-50364.8686961,25.3741335866,2903683.57275,0.0,74
0.236467148947,-3406.24144162,12265970.6279,2366232.95514,-512.063550882,38.3486374594,6.35064876719,-60986.5600142,26.9898435996,2366232.95514,0.0,75
0.0826706300079,-1114.00637546,3751905.49795,1445520.08961,-969.629689173,13.6642683613,1.40129582115,-15721.4355761,9.84881840169,1445520.08961,0.0,76
0.0941601934599,-1192.76331201,3706700.89458,1834933.31137,-70596.7781158,0.24968591463,0.238678488976,-27744.8904448,18.1095565591,1882633.46194,0.0,77
0.0989900284182,-1445.48862167,5258400.70316,2167372.91113,-18487.7591395,0.0864960346011,0.100060145575,-30410.9088152,18.0163152588,2167372.91113,0.0,78
0.131356201351,-1674.75540361,5340349.12812,1648523.66976,2181.54812995,0.246617326521,0.0529079086556,-42683.3899263,19.0839951043,1648523.66976,0.0,79
0.0868765154885,-1776.99865181,9087245.15097,3579672.13372,427.526079431,0.12948889727,0.685991257889,-87251.3865635,28.7741393839,3579672.13372,0.0,80
0.136561333517,-1938.56124784,6880153.8638,2147879.15709,425.146221113,0.0908770641527,0.397927446424,-40625.1653352,16.9129708632,2147879.15709,0.0,81
0.144423004378,-2431.12331293,10231317.1933,2286469.88435,328.39039317,0.178013205152,0.127220569302,-27222.7910311,15.9832951884,2286469.88435,0.0,82
0.126797496713,-1590.56399124,4988600.10922,1876668.88125,540.652588248,0.0416333673549,0.127626113039,-29009.3574944,15.5372017808,1876668.88125,0.0,83
0.111758029427,-1484.27143678,4928585.29401,1590563.64864,389.733153898,0.101942371224,0.0710689108623,-21655.8638651,12.8152181528,1590563.64864,0.0,84
0.00744892201228,-107.477582666,387588.670402,816317.85794,-99.3318587488,0.0136991118001,nan,-10000.0,nan,2645677.51937,0.0,85
0.0548969391415,-1060.4040225,5121552.86973,1354375.4904,790.63546475,0.0553430171545,0.218525933271,-28681.6971491,11.8567023741,1395278.06436,0.0,86
0.0951262386985,-1546.90815472,6289286.8786,1831235.13938,473.003805212,0.0627533995522,0.157173925425,-24074.594973,13.0054920496,1831235.13938,0.0,87
0.185521609621,-2492.46700407,8372014.84517,2046880.46356,494.43437143,0.0522337987305,0.55962787397,-61231.9319977,19.6211646176,2046880.46356,0.0,88
0.0460622993582,-917.636265495,4570957.27661,1437978.58991,753.837549618,0.0242652191346,0.173343555208,-27602.323612,10.093722057,1437978.58991,0.0,89
0.223732454057,-2859.73934068,9137962.30615,2564109.89901,-306.358438736,1.18806516573,0.154227754683,-48530.1058078,22.017766849,2564109.89901,0.0,90
0.150991598473,-2185.0456934,7905544.89764,2394172.13317,428.436642043,0.26516531604,0.103874758593,-45565.0629171,17.8007410679,2394172.13317,0.0,91
0.211030039488,-2571.60467745,7834804.21327,2640811.5036,433.057948003,0.139230291132,0.12562823038,-50313.3395342,22.9189826105,2640811.5036,0.0,92
0.135175370523,-2268.17277407,9515237.7487,2761106.01155,546.364587275,0.107084706944,0.279044374917,-51391.8110263,26.9580754676,2761106.01155,0.0,93
0.0740140610301,-992.678935917,3328923.20127,1445239.67514,462.851640791,0.0423036663664,0.0421671245955,-17604.9943628,11.8341804371,1445239.67514,0.0,94
0.0547525654441,-1009.04202959,4649550.52946,1547218.16981,609.382966254,0.0206360416851,0.0324999520925,-24547.6523754,11.6132075232,1547218.16981,0.0,95
